catch_terms,recode_column,country_name,country_domain,iso2,iso3,checked,notes
christmas island|flying fish cove,christmas island|flying fish cove,christmas island,.cx,CX,CXR,,
cocos islands|bantam|keeling islands,cocos islands|bantam|keeling islands,cocos islands,.cc,CC,CCK,,
colombia|bogataa|bogotá|bogota|medellín|medellin|cali|barranquilla|cartagena|soacha|palermo|cúcuta|cucuta|soledad|pereira|bucaramanga|valledupar|ibagué|ibague|villavicencio|santa marta|montería|monteria|manizales|buenaventura|pasto|bello|neiva|popayán|popayan|sincelejo|floridablanca|itagüí|itagui|envigado|tuluá|tulua|tumaco|tunja|barrancabermeja|zipaquirá|zipaquira|dosquebradas|turbo|yopal|ríohacha|riohacha|girón|giron|florencia|fusagasugá|fusagasuga|cartago|pitalito|sogamoso|ciénaga|cienaga|quibdó|quibdo|girardot|duitama|magangué|magangue|maicao|facatativá|facatativa|uribia|piedecuesta|guadalajara de buga|madrid|santander de quilichao|aguachica|ipiales|arauca|san andrés|san andres|san josé del guaviare|san jose del guaviare|sabaneta|leticia|mitú|mitu|mocoa|inírida|inirida|puerto carreño|puerto carreno|chía|chia|jamundí|jamundi|yumbo|mosquera|fundación|fundacion|ocaña|ocana|montelíbano|montelibano|chiquinquirá|chiquinquira|sabanalarga|chigorodó|chigorodo|cereté|cerete|funza|caldas|los patios|el carmen de bolívar|el carmen de bolivar|tierralta|la dorada|arjona|turbaco|espinal|acacías|acacias|copacabana|santa rosa de cabal|san vicente del caguán|san vicente del caguan|corozal|villa del rosario|garzón|garzon|planeta rica|necoclí|necocli|manaure|marinilla|ciénaga de oro|cienaga de oro|puerto asís|puerto asis|cajicá|cajica|riosucio|plato|carepa|villamaría|villamaria|girardota|pamplona|pradera|orito|puerto boyacá|puerto boyaca|el banco|san gil|valle del guamuez|puerto libertador|barbosa|tame|lorica|san onofre|guarne|el bagre|baranoa|chinú|chinu|puerto berrío|puerto berrio|cimitarra|maría la baja|maria la baja|samaniego|agustín codazzi|agustin codazzi|carmen de viboral|yarumal|la vega|san andrés de sotavento|san andres de sotavento|chaparral|andes|ayapel|zarzal|urrao|roldanillo|valencia|puerto tejada|santa rosa del sur|san pelayo|arboletes|villeta|aguazul|cumaribo|miranda|el charco|montenegro|cáceres|caceres|pueblo nuevo|tuchín|tuchin|arauquita|guaduas|pie de pató|pie de pato|la union|cumbal|aracataca|túquerres|tuquerres|villa de san diego de ubaté|villa de san diego de ubate|acevedo|líbano|libano|bosconia|san juan del cesar|tarazá|taraza|cajibío|cajibio|sibaté|sibate|segovia|sampués|sampues|dibulla|el bordo|santa rosa de osos|melgar|tibú|tibu|dagua|la macarena|belalcázar|belalcazar|sonsón|sonson|san pablo|san bernardo del viento|guacarí|guacari|santiago de tolú|santiago de tolu|timbío|timbio|tocancipá|tocancipa|gigante|quimbaya|cartagena del chairá|cartagena del chaira|fonseca|sabanagrande|san vicente de chucurí|san vicente de chucuri|san luis de sincé|san luis de since|puerto lópez|puerto lopez|campoalegre|caldono|quinchía|quinchia|san agustín|san agustin|san juan nepomuceno|majagual|puerto rico|san antero|corinto|la virginia|pivijay|puebloviejo|puerto escondido|bocas de satinga|silvia|el difícil|el dificil|inzá|inza|san pedro de urabá|san pedro de uraba|remedios|paipa|guachavés|guachaves|sitionuevo|puerto wilches|neira|guamo|circasia|amagá|amaga|chimichagua|planadas|tabio|fresno|purificación|purificacion|flandes|sopó|sopo|moñitos|monitos|aipe|la calera|caicedonia|hatonuevo|isnos|coyaima|luruaco|guamal|belén de umbría|belen de umbria|supía|supia|argelia|ciudad bolívar|ciudad bolivar|repelón|repelon|puerto colombia|san juan de urabá|san juan de uraba|fortul|los córdobas|los cordobas|morales|san benito abad|san alberto|balboa|pensilvania|buesaco|paz de ariporo|palmar de varela|istmina|san martín|san martin|nechí|nechi|yolombó|yolombo|solano|sandoná|sandona|vistahermosa|san josé|chocontá|choconta|pinillos|socorro|santa rosa|villanueva|tauramena|algeciras|pueblo bello|valdivia|el retorno|puerto guzmán|puerto guzman|la montañita|la montanita|donmatías|donmatias|cogua|marsella|rioblanco|el zulia|honda|canalete|alcalá|alcala|el paso|teorama|ponedera|puerto concordia|achí|achi|curumaní|curumani|dabeiba|guadalupe|ataco|santa fe de antioquia|buenavista|amalfi|manzanares|sardinata|mutatá|mutata|el colegio|la jagua de ibirico|natagaima|el doncello|silvania|pailitas|timbiquí|timbiqui|tiquisio|taminango|ginebra|puerto triunfo|san bernardo|san jacinto|nueva granada|galeras|santa bárbara|villagarzón|villagarzon|moniquirá|moniquira|el paujíl|el paujil|almaguer|totoró|totoro|aguadas|montecristo|suaza|villapinzón|villapinzon|fredonia|el retén|el reten|bugalagrande|samacá|samaca|ovejas|sotomayor|lópez|lopez|timaná|timana|tenjo|concordia|simití|simiti|rovira|polonuevo|urumita|tadó|tado|vélez|velez|tocaima|villa de leyva|campo de la cruz|sabana de torres|pelaya|salgar|la primavera|guaranda|el rosal|suesca|betulia|retiro|el piñón|el pinon|anorí|anori|aquitania|chivolo|guasca|landázuri|landazuri|támesis|tamesis|obando|condoto|sopetrán|sopetran|tenerife|juan de acosta|titiribí|titiribi|río de oro|rio de oro|el carmen de atrato|córdoba|cordoba|guapí|guapi|jardín|jardin|filandia|altos del rosario|manatí|manati|san jacinto del cauca|rosas|anolaima|los santos|santa bárbara de pinto|santa barbara de pinto|saboyá|saboya|hatillo de loba|ebéjico|ebejico|santa lucía|santa lucia|curití|curiti|caimito|oiba|cisneros|puente nacional|guayabal|coveñas|covenas|talaigua nuevo|bojacá|bojaca|el playón|el playon|agua de dios|el águila|el aguila|el tarra|mogotes|santo domingo|tubará|tubara|regidor|lenguazaque|charalá|charala|medina|granada|suaita|margarita|norosí|norosi|chita|pesca|tibaná|tibana|san zenón|san zenon|nuquí|nuqui|alvarado|iles|zapatoca|junín|junin|usiacurí|usiacuri|la belleza|muzo|guatapé|guatape|orocué|orocue|aratoca|uramita|motavita|uribe|pedraza|puerto parra|san luis de palenque|paratebueno|santana|coromoro|tarso|ambalema|maripí|maripi|simacota|soatá|soata|tona|socha|boavita|salento|guatavita|güicán|guican|puerto nariño|puerto narino|cubará|cubara|tasco|florián|florian|heliconia|albán|alban|colosó|coloso|sutamarchán|sutamarchan|chitaraque|zipacón|zipacon|chíquiza|chiquiza|caramanta|tota|san josé de pare|san jose de pare|arcabuco|el cocuy|labranzagrande|juradó|jurado,colombia|bogataa|bogotá|bogota|medellín|medellin|cali|barranquilla|cartagena|soacha|palermo|cúcuta|cucuta|soledad|pereira|bucaramanga|valledupar|ibagué|ibague|villavicencio|santa marta|montería|monteria|manizales|buenaventura|pasto|bello|neiva|popayán|popayan|sincelejo|floridablanca|itagüí|itagui|envigado|tuluá|tulua|tumaco|tunja|barrancabermeja|zipaquirá|zipaquira|dosquebradas|turbo|yopal|ríohacha|riohacha|girón|giron|florencia|fusagasugá|fusagasuga|cartago|pitalito|sogamoso|ciénaga|cienaga|quibdó|quibdo|girardot|duitama|magangué|magangue|maicao|facatativá|facatativa|uribia|piedecuesta|guadalajara de buga|madrid|santander de quilichao|aguachica|ipiales|arauca|san andrés|san andres|san josé del guaviare|san jose del guaviare|sabaneta|leticia|mitú|mitu|mocoa|inírida|inirida|puerto carreño|puerto carreno|chía|chia|jamundí|jamundi|yumbo|mosquera|fundación|fundacion|ocaña|ocana|montelíbano|montelibano|chiquinquirá|chiquinquira|sabanalarga|chigorodó|chigorodo|cereté|cerete|funza|caldas|los patios|el carmen de bolívar|el carmen de bolivar|tierralta|la dorada|arjona|turbaco|espinal|acacías|acacias|copacabana|santa rosa de cabal|san vicente del caguán|san vicente del caguan|corozal|villa del rosario|garzón|garzon|planeta rica|necoclí|necocli|manaure|marinilla|ciénaga de oro|cienaga de oro|puerto asís|puerto asis|cajicá|cajica|riosucio|plato|carepa|villamaría|villamaria|girardota|pamplona|pradera|orito|puerto boyacá|puerto boyaca|el banco|san gil|valle del guamuez|puerto libertador|barbosa|tame|lorica|san onofre|guarne|el bagre|baranoa|chinú|chinu|puerto berrío|puerto berrio|cimitarra|maría la baja|maria la baja|samaniego|agustín codazzi|agustin codazzi|carmen de viboral|yarumal|la vega|san andrés de sotavento|san andres de sotavento|chaparral|andes|ayapel|zarzal|urrao|roldanillo|valencia|puerto tejada|santa rosa del sur|san pelayo|arboletes|villeta|aguazul|cumaribo|miranda|el charco|montenegro|cáceres|caceres|pueblo nuevo|tuchín|tuchin|arauquita|guaduas|pie de pató|pie de pato|la union|cumbal|aracataca|túquerres|tuquerres|villa de san diego de ubaté|villa de san diego de ubate|acevedo|líbano|libano|bosconia|san juan del cesar|tarazá|taraza|cajibío|cajibio|sibaté|sibate|segovia|sampués|sampues|dibulla|el bordo|santa rosa de osos|melgar|tibú|tibu|dagua|la macarena|belalcázar|belalcazar|sonsón|sonson|san pablo|san bernardo del viento|guacarí|guacari|santiago de tolú|santiago de tolu|timbío|timbio|tocancipá|tocancipa|gigante|quimbaya|cartagena del chairá|cartagena del chaira|fonseca|sabanagrande|san vicente de chucurí|san vicente de chucuri|san luis de sincé|san luis de since|puerto lópez|puerto lopez|campoalegre|caldono|quinchía|quinchia|san agustín|san agustin|san juan nepomuceno|majagual|puerto rico|san antero|corinto|la virginia|pivijay|puebloviejo|puerto escondido|bocas de satinga|silvia|el difícil|el dificil|inzá|inza|san pedro de urabá|san pedro de uraba|remedios|paipa|guachavés|guachaves|sitionuevo|puerto wilches|neira|guamo|circasia|amagá|amaga|chimichagua|planadas|tabio|fresno|purificación|purificacion|flandes|sopó|sopo|moñitos|monitos|aipe|la calera|caicedonia|hatonuevo|isnos|coyaima|luruaco|guamal|belén de umbría|belen de umbria|supía|supia|argelia|ciudad bolívar|ciudad bolivar|repelón|repelon|puerto colombia|san juan de urabá|san juan de uraba|fortul|los córdobas|los cordobas|morales|san benito abad|san alberto|balboa|pensilvania|buesaco|paz de ariporo|palmar de varela|istmina|san martín|san martin|nechí|nechi|yolombó|yolombo|solano|sandoná|sandona|vistahermosa|san josé|chocontá|choconta|pinillos|socorro|santa rosa|villanueva|tauramena|algeciras|pueblo bello|valdivia|el retorno|puerto guzmán|puerto guzman|la montañita|la montanita|donmatías|donmatias|cogua|marsella|rioblanco|el zulia|honda|canalete|alcalá|alcala|el paso|teorama|ponedera|puerto concordia|achí|achi|curumaní|curumani|dabeiba|guadalupe|ataco|santa fe de antioquia|buenavista|amalfi|manzanares|sardinata|mutatá|mutata|el colegio|la jagua de ibirico|natagaima|el doncello|silvania|pailitas|timbiquí|timbiqui|tiquisio|taminango|ginebra|puerto triunfo|san bernardo|san jacinto|nueva granada|galeras|santa bárbara|villagarzón|villagarzon|moniquirá|moniquira|el paujíl|el paujil|almaguer|totoró|totoro|aguadas|montecristo|suaza|villapinzón|villapinzon|fredonia|el retén|el reten|bugalagrande|samacá|samaca|ovejas|sotomayor|lópez|lopez|timaná|timana|tenjo|concordia|simití|simiti|rovira|polonuevo|urumita|tadó|tado|vélez|velez|tocaima|villa de leyva|campo de la cruz|sabana de torres|pelaya|salgar|la primavera|guaranda|el rosal|suesca|betulia|retiro|el piñón|el pinon|anorí|anori|aquitania|chivolo|guasca|landázuri|landazuri|támesis|tamesis|obando|condoto|sopetrán|sopetran|tenerife|juan de acosta|titiribí|titiribi|río de oro|rio de oro|el carmen de atrato|córdoba|cordoba|guapí|guapi|jardín|jardin|filandia|altos del rosario|manatí|manati|san jacinto del cauca|rosas|anolaima|los santos|santa bárbara de pinto|santa barbara de pinto|saboyá|saboya|hatillo de loba|ebéjico|ebejico|santa lucía|santa lucia|curití|curiti|caimito|oiba|cisneros|puente nacional|guayabal|coveñas|covenas|talaigua nuevo|bojacá|bojaca|el playón|el playon|agua de dios|el águila|el aguila|el tarra|mogotes|santo domingo|tubará|tubara|regidor|lenguazaque|charalá|charala|medina|granada|suaita|margarita|norosí|norosi|chita|pesca|tibaná|tibana|san zenón|san zenon|nuquí|nuqui|alvarado|iles|zapatoca|junín|junin|usiacurí|usiacuri|la belleza|muzo|guatapé|guatape|orocué|orocue|aratoca|uramita|motavita|uribe|pedraza|puerto parra|san luis de palenque|paratebueno|santana|coromoro|tarso|ambalema|maripí|maripi|simacota|soatá|soata|tona|socha|boavita|salento|guatavita|güicán|guican|puerto nariño|puerto narino|cubará|cubara|tasco|florián|florian|heliconia|albán|alban|colosó|coloso|sutamarchán|sutamarchan|chitaraque|zipacón|zipacon|chíquiza|chiquiza|caramanta|tota|san josé de pare|san jose de pare|arcabuco|el cocuy|labranzagrande|juradó|jurado,colombia,.co,CO,COL,,
comoros|moroni|moutsamoudou|fomboni|domoni|tsimbeo,comoros|moroni|moutsamoudou|fomboni|domoni|tsimbeo,comoros,.km,KM,COM,,
congo republic|brazzaville|pointe noire|dolisie|ouésso|ouesso|owando|sibiti|madingou|impfondo|kinkala|djambala|ewo|loango|kayes|mossendjo|gamboma|boloso|makoua|sémbé|sembe,congo republic|brazzaville|pointe noire|dolisie|ouésso|ouesso|owando|sibiti|madingou|impfondo|kinkala|djambala|ewo|loango|kayes|mossendjo|gamboma|boloso|makoua|sémbé|sembe,congo,.cg,CG,COG,,
cook islands|avarua,cook islands|avarua,cook islands,.ck,CK,COK,,
costa rica|san josé|cartago|puerto limón|puerto limon|liberia|alajuela|puntarenas|heredia|alajuelita|buenos aires|quesada|cañas|canas|el roble|santiago|sixaola|la cruz|golfito|ciudad cortés|ciudad cortes,costa rica|san josé|puerto limón|alajuela|liberia|paraíso|puntarenas|san isidro|curridabat|san vicente de moravia ,costa rica,.cr,CR,CRI,,
croatia|zagreb|split|rijeka|osijek|zadar|slavonski brod|šibenik|sibenik|dubrovnik|bjelovar|sisak|čakovec|cakovec|vukovar|virovitica|gospić|gospic|varaždin|varazdin|koprivnica|požega|pozega|krapina|pazin|velika gorica|pula|karlovac|kaštel stari|kastel stari|samobor|vrbovec|ivanić-grad|ivanic-grad|rovinj|trogir|županja|zupanja|nova gradiška|nova gradiska|opatija|labin|crikvenica|kastav|križevci|krizevci|knin|slatina|daruvar|čepin|cepin|bedekovčina|bedekovcina|našice|nasice|poreč|porec|križ|kriz|čavle|cavle|novska|belišće|belisce|ploče|ploce|krk|ivankovo|donji miholjac|cestica|darda|buje|ilok,croatia|zagreb|split|rijeka|osijek|zadar|slavonski brod|šibenik|sibenik|dubrovnik|bjelovar|sisak|čakovec|cakovec|vukovar|virovitica|gospić|gospic|varaždin|varazdin|koprivnica|požega|pozega|krapina|pazin|velika gorica|pula|karlovac|kaštel stari|kastel stari|samobor|vrbovec|ivanić-grad|ivanic-grad|rovinj|trogir|županja|zupanja|nova gradiška|nova gradiska|opatija|labin|crikvenica|kastav|križevci|krizevci|knin|slatina|daruvar|čepin|cepin|bedekovčina|bedekovcina|našice|nasice|poreč|porec|križ|kriz|čavle|cavle|novska|belišće|belisce|ploče|ploce|krk|ivankovo|donji miholjac|cestica|darda|buje|ilok,croatia,.hr,HR,HRV,,
cuba|havana|santiago de cuba|holguín|holguin|camagüey|camaguey|bayamo|guantánamo|guantanamo|carlos manuel de céspedes|carlos manuel de cespedes|arroyo naranjo|santa clara|las tunas|pinar del río|pinar del rio|cienfuegos|manzanillo|centro habana|matanzas|ciego de ávila|ciego de avila|sancti spíritus|sancti spiritus|contramaestre|mayarí|mayari|artemisa|nueva gerona|san josé de las lajas|san jose de las lajas|jagüey grande|jaguey grande|consolación del sur|consolacion del sur|baracoa|palma soriano|moa|placetas|gibara|güines|guines|yara|morón|moron|jovellanos|bartolomé masó|bartolome maso|sagua la grande|jobabo|salvador|remedios|san juan y martínez|san juan y martinez|bahía honda|bahia honda|jatibonico|mariel|niquero|chambas|nuevitas|los palacios|caibarién|caibarien|güira de melena|guira de melena|caimito|guane|guamá abajo|guama abajo|la palma|banes|san antonio de los baños|san antonio de los banos|mella|baraguá|baragua|cabaiguán|cabaiguan|alquízar|alquizar|quivicán|quivican|primero de enero|venezuela|ciro redondo|viñales|vinales|majagua|san antonio del sur|surgidero de batabanó|surgidero de batabano|nueva paz|bauta|abreus|guanajay|lajas|san nicolás|san nicolas|varadero|manuel tames|florencia|melena del sur|najasa|imías|imias|caimanera,cuba|havana|santiago de cuba|holguín|holguin|camagüey|camaguey|bayamo|guantánamo|guantanamo|carlos manuel de céspedes|carlos manuel de cespedes|arroyo naranjo|santa clara|las tunas|pinar del río|pinar del rio|cienfuegos|manzanillo|centro habana|matanzas|ciego de ávila|ciego de avila|sancti spíritus|sancti spiritus|contramaestre|mayarí|mayari|artemisa|nueva gerona|san josé de las lajas|san jose de las lajas|jagüey grande|jaguey grande|consolación del sur|consolacion del sur|baracoa|palma soriano|moa|placetas|gibara|güines|guines|yara|morón|moron|jovellanos|bartolomé masó|bartolome maso|sagua la grande|jobabo|salvador|remedios|san juan y martínez|san juan y martinez|bahía honda|bahia honda|jatibonico|mariel|niquero|chambas|nuevitas|los palacios|caibarién|caibarien|güira de melena|guira de melena|caimito|guane|guamá abajo|guama abajo|la palma|banes|san antonio de los baños|san antonio de los banos|mella|baraguá|baragua|cabaiguán|cabaiguan|alquízar|alquizar|quivicán|quivican|primero de enero|venezuela|ciro redondo|viñales|vinales|majagua|san antonio del sur|surgidero de batabanó|surgidero de batabano|nueva paz|bauta|abreus|guanajay|lajas|san nicolás|san nicolas|varadero|manuel tames|florencia|melena del sur|najasa|imías|imias|caimanera,cuba,.cu,CU,CUB,,
curaçao|curacao|willemstad|sint michiel liber,curaçao|curacao|willemstad|sint michiel liber,curaçao,.cw,CW,CUW,,
cyprus|strovolos|nicosia|limassol|larnaca|famagusta|paphos|kyrenia|mésa geitoniá|mesa geitonia|káto polemídia|kato polemidia|aradíppou|aradippou|latsia|ágios athanásios|agios athanasios|paralímni|paralimni|germasógeia|germasogeia|dáli|dali|geroskípou|geroskipou|géri|geri|livádia|livadia|tséri|tseri|derýneia|deryneia|mórfou|morfou,cyprus|strovolos|nicosia|limassol|larnaca|famagusta|paphos|kyrenia|mésa geitoniá|mesa geitonia|káto polemídia|kato polemidia|aradíppou|aradippou|latsia|ágios athanásios|agios athanasios|paralímni|paralimni|germasógeia|germasogeia|dáli|dali|geroskípou|geroskipou|géri|geri|livádia|livadia|tséri|tseri|derýneia|deryneia|mórfou|morfou,cyprus,.cy,CY,CYP,,
